Date,Customer,Customer_feedback,catogory,TelkomKenya
05/03/22,Nicholas macharia,Why haven’t  activated my number after uploading my Id ,2,We regret the experience kindly Dm  the number
05/03/22,Dann Right,Kisii County has low newtork coverage,2,we shared the location with   optimization team  once we have plan to  improve we will  advice
05/03/22,joel,Network is very poor,2,Share the location we shall advice  we we have the plan to improve
05/03/22,jackson ngari,keep on deducting our airtime without our consent,3,"Apologies to the experience  ,we would like to resolve this issue"
05/03/22,Aizak  the ngugi  No longer need telcom, I longer need telkom  since their 5gb last five hours let  get tunukiwa saf hourly,4,5GB friday last 72 hours share your number so we can check and advice on data usage
05/03/22,kipkirui ezrah,You have the offers but nework is so bad ,2,Share the location we shall advice  we we have the plan to improve
05/03/22,jackson ngari,No birthday  data award has promised,5,Share your number for further assistance
05/03/22,jackson ngari,Tried of your forthcoming promises for birthday promises have DM several Times,5,Check the revert
05/03/22,Evans Bettq ,Good offers but improve on your network,2,Currently working on network upgrade across countries  bear with us
05/03/22,Joseph Mwangi,How do we buy,6,
04/03/22,jamas,Furahia  at what time  and you sucked all my  net speed,2,"Hi Jaymoh, we regret the experience. Please DM affected Telkom number for further assistanc"
04/03/02,David,Why are you blocking lines? Though mine is still working,1,"Hi David, we are deactivating lines which were not registered with all required details"
04/03/22,benny Kimani keep on deducting our airtime without our consent,You guys keep on deducting our airtime everytime we top up. Why would you allow a subscription service to be activated without our consent though.,3,"Hi @bennykim_bk, apologies for the experience. We would like to have this resolved"
04/03/22,TheOptimistAK,Just purchased this package but I'm unable to use. Exceedingly poor internet. Receiving calls via 100 takes ages plus your suggestions have not helped,2,"Hi @TheOptimistAK, we regret the experience. Kindly DM affected Telkom number for further assistance"
04/03/22,Evans Bettq ,You have good bundle offers just try to improve on the strength of your network,2,"Hi Evans, we understand your frustration. we are currently working on network upgrades across the country"
04/03/22,jobse_josh,My telkom simcard has been deactivated after trying to register it for several days. Telkom shop is not around me,1,"Hi @Jobse_Josh, apologies for the inconvenience, kindly share the affected Telkom number via DM for checks"
04/03/22,Pesa lelo,Your prices are very fair.myour intert is awful,2,"Hi Pesa, we regret the experience. Kindly DM affected Telkom number for further assistanc"
04/03/22,mdenno,Hi why did you diconnect my network. What did i do to deserve that?,2," Telkom Kenya@TelkomKenya·Mar 4Hi @mdenno_KE, apologies for the inconvenience, kindly share the affected Telkom number via DM for assistance.^eA"
04/03/22,"aorowendoEven if i wanted to get these bundles, how? 36hrs without data connection","Even if i wanted to get these bundles, how? 36hrs without data connection.",2,"Hi @aorowendo, as advised we currently checking on your issue, your patience will be highly appreciated"
04/03/22,Kitheka,You guys have such excellent offers but your Internet is the slowest there ever was,2,
04/03/22,Rony,"They won't help you bro, I have been waiting for their help for the last one year",7,
04/03/22,unknown,Connection huku ni slow,2,"Hello @Unknown15300372, we regret the experience, kindly share the location, and the affected Telkom number via DM for assistance"
04/03/22,AinurDimbil,Improve on your network,2,"Hi @AlinurDimbil, we regret the experience, kindly share the affected Telkom number via DM for checks"
04/03/22,jess,Why has my simcard been blocked,1,"Hi Jess, your experience is unfortunate. Kindly DM affected Telkom number for further assistance"
04/03/22,Yobi,my simcard been blocked,1,"Hi Yobi, we sincerely regret the experience. Kindly DM affected Telkom number for further assistance"
04/03/22,Mark,Sort out my line ffs!,1,"Hi Mark, we regret the experience. Kindly DM affected Telkom number for further assistance"
04/03/22,Scofield,Just purchased 60GB this morning 😊. Form ni kujipanga na #FreedomFriday bundles,8,Thank you @ScofieldVincent Enjoy our services.^eM
04/03/22,FaluzizMe,My line has been suspended,1,"Hi @FAZULizMe, we have been in touch, kindly bear with us"
04/03/22,Mojinga,My telkom number has been deactivated and i had bought the monthly bundles the previous day,1,"Hi @mojingamojinga, apologies for the experience, please share the Telkom number via DM for assistance"
04/03/22,TheOptimistAK,can you respond to my dm. Sikuwa nabuy bundles za 1K kurembesha simu bana,2,We are onit.^eM
04/03/22,Abidstar,What's wrong with your network? I have recharged via mpesa yet its not reflecting???,3,
03/03/22,Ayub,I have an issue with my Telcom line But the customer service is not picking up the calls,2,
03/03/22,RonohHazard,Good evening ? Hello iam Ronoh Alex I want to know why you suspend my number,1,"Hi @RonohHazard, Apologies for the experience however please note you are required to upload your ID via the link https://kycupload.telkom.co.ke since it is a government directiv"
03/03/22,SylviaCleo,"what is this ,I dint subscribe to anything and I tried to unsubscribe and they continue to take my money",9,"Hi @SylviaCleo, Apologies for the experience, Please share the affected number via DM for assistance"
03/03/22,Rono Jeff,"You mean perfect bundle yet my 7Gb gone after you deactivate my line then telling me to visit nearest shop with id, this unfair",1,Kindly note sim verification is a government that must be followed in order to avoid losing your line. ^eS
03/03/22,Witsel,Tengenezeni network kwanza na muache prrrrr mingi🚮kutoka January mnasema ati Kuna shida ya net countrywide kwani mnachukua mwaka mzima kutengeneza. The audacity 💔,,We regret the experience. Kindly note that we have an ongoing network rollout across the country that our team is working on to ensure network optimization 
03/03/22,Benamini Omongo,"Why in God's holy name would I switch to either 2G or 3G? Kindly revamp your 4G services, you are messing my hustle big time...Respectful",2,We appreciate your feedback and have shared your location with our network optimization team for further checks
